school_year,county_code,county_name,district_code,district_name,absentee_students,total_students,district_size,chronically_absent_rate,pct_diff,pct_enroll_diff
2022-2023,42,Montezuma,2055,Dolores Re-4a,313,668,Small,0.469,0.40599999999999997,-2.9069767441860463
2022-2023,42,Montezuma,2070,Mancos Re-6,129,484,Small,0.267,-0.05499999999999999,-6.2015503875969
2022-2023,43,Montrose,2180,Montrose County Re-1j,2057,5958,Medium,0.345,-0.19500000000000006,-3.1377011867988944
2022-2023,43,Montrose,2190,West End Re-2,129,257,Small,0.502,-0.07099999999999995,-8.540925266903914
2022-2023,44,Morgan,2395,Brush Re-2(J),300,1341,Intermediate,0.224,-0.047000000000000014,-8.401639344262295
2022-2023,44,Morgan,2405,Fort Morgan Re-3,944,3329,Medium,0.284,0.003999999999999948,-6.225352112676056
2022-2023,44,Morgan,2505,Weldon Valley Re-20(J),31,208,Small,0.149,-0.062,4.522613065326633
2022-2023,44,Morgan,2515,Wiggins Re-50(J),139,820,Intermediate,0.17,-0.061,5.3984575835475574
2022-2023,45,Otero,2520,East Otero R-1,524,1418,Intermediate,0.37,-0.08400000000000002,-0.9084556254367575
2022-2023,45,Otero,2530,Rocky Ford R-2,330,688,Small,0.48,-0.07800000000000007,-3.3707865168539324
2022-2023,45,Otero,2535,Manzanola 3j,98,182,Small,0.538,0.12700000000000006,11.656441717791411
2022-2023,45,Otero,2540,Fowler R-4j,128,378,Small,0.339,-0.05499999999999999,-2.577319587628866
2022-2023,45,Otero,2560,Cheraw 31,80,222,Small,0.36,-0.0010000000000000009,-6.722689075630252
2022-2023,45,Otero,2570,Swink 33,98,336,Small,0.292,-0.01200000000000001,9.803921568627452
2022-2023,46,Ouray,2580,Ouray R-1,112,168,Small,0.667,0.277,-16
2022-2023,46,Ouray,2590,Ridgway R-2,107,326,Small,0.328,0.132,-4.678362573099415
2022-2023,47,Park,2600,Platte Canyon 1,176,751,Intermediate,0.234,-0.04300000000000001,-14.073226544622425
2022-2023,47,Park,2610,Park County Re-2,206,562,Small,0.367,-0.066,-10.935023771790808
2022-2023,48,Phillips,2620,Holyoke Re-1j,112,568,Small,0.197,-0.08499999999999996,0
2022-2023,48,Phillips,2630,Haxtun Re-2j,38,312,Small,0.122,0.019000000000000003,-11.11111111111111
2022-2023,49,Pitkin,2640,Aspen 1,678,1605,Intermediate,0.422,-0.03600000000000003,-5.08574807806032
2022-2023,50,Prowers,2650,Granada Re-1,51,206,Small,0.248,-0.063,0
2022-2023,50,Prowers,2660,Lamar Re-2,340,1456,Intermediate,0.234,-0.09,-11.21951219512195
2022-2023,50,Prowers,2670,Holly Re-3,67,254,Small,0.264,-0.032999999999999974,-12.413793103448276
2022-2023,50,Prowers,2680,Wiley Re-13 Jt,15,235,Small,0.064,-0.055999999999999994,-14.233576642335766
2022-2023,51,Pueblo,2690,Pueblo City 60,6897,15037,Large,0.459,-0.10799999999999993,-4.756777299214593
2022-2023,51,Pueblo,2700,Pueblo County 70,3398,10776,Medium,0.315,-0.006000000000000005,-0.5261700360011077
2022-2023,52,Rio Blanco,2710,Meeker Re-1,117,696,Small,0.168,0.0050000000000000044,-8.421052631578947
2022-2023,52,Rio Blanco,2720,Rangely Re-4,192,489,Small,0.393,0.01200000000000001,-4.863813229571984
2022-2023,53,Rio Grande,2730,Upper Rio Grande School District C-7,119,408,Small,0.292,-0.028000000000000025,-0.4878048780487805
2022-2023,53,Rio Grande,2740,Monte Vista C-8,276,1011,Intermediate,0.273,-0.023999999999999966,-10.213143872113676
2022-2023,53,Rio Grande,2750,Sargent Re-33j,73,336,Small,0.217,-0.049000000000000016,0.29850746268656714
2022-2023,54,Routt,2760,Hayden Re-1,77,444,Small,0.173,-0.038000000000000006,-3.2679738562091503
2022-2023,54,Routt,2770,Steamboat Springs Re-2,399,2680,Intermediate,0.149,-0.026999999999999996,11.899791231732777
2022-2023,54,Routt,2780,South Routt Re 3,87,328,Small,0.265,-0.10099999999999998,-9.141274238227147
2022-2023,55,Saguache,2790,Mountain Valley Re 1,53,207,Small,0.256,0.097,50
2022-2023,55,Saguache,2800,Moffat 2,93,191,Small,0.487,-0.06700000000000006,-18.025751072961373
2022-2023,55,Saguache,2810,Center 26 Jt,132,579,Small,0.228,-0.006000000000000005,-12.537764350453172
2022-2023,56,San Juan,2820,Silverton 1,26,80,Micro,0.325,0.139,-6.976744186046512
2022-2023,57,San Miguel,2830,Telluride R-1,269,884,Intermediate,0.304,-0.0010000000000000009,25.390070921985817
2022-2023,57,San Miguel,2840,Norwood R-2j,73,174,Small,0.42,0.04799999999999999,-15.942028985507246
2022-2023,58,Sedgwick,2862,Julesburg Re-1,195,632,Small,0.309,-0.133,-14.824797843665769
2022-2023,58,Sedgwick,2865,Revere School District,11,126,Small,0.087,-0.18800000000000003,-11.267605633802816
2022-2023,59,Summit,3000,Summit Re-1,1835,3636,Medium,0.505,0.04199999999999998,-4.189723320158103
2022-2023,60,Teller,3010,Cripple Creek-Victor Re-1,185,323,Small,0.573,-0.029000000000000026,-7.4498567335243555
2022-2023,60,Teller,3020,Woodland Park Re-2,590,2083,Intermediate,0.283,-0.064,9.458749343142406
2022-2023,61,Washington,3030,Akron R-1,73,436,Small,0.167,-0.025999999999999995,1.160092807424594
2022-2023,61,Washington,3040,Arickaree R-2,8,91,Micro,0.088,0.017999999999999988,-20.17543859649123
2022-2023,61,Washington,3050,Otis R-3,55,203,Small,0.271,-0.04999999999999999,3.5714285714285716
2022-2023,61,Washington,3060,Lone Star 101,1,129,Small,0.008,-0.092,-0.7692307692307693
2022-2023,61,Washington,3070,Woodlin R-104,21,77,Micro,0.273,-0.02799999999999997,-7.228915662650603
2022-2023,62,Weld,3080,Weld County Re-1,537,1827,Intermediate,0.294,-0.014000000000000012,-7.352941176470588
2022-2023,62,Weld,3085,Eaton Re-2,326,2025,Intermediate,0.161,-0.10600000000000001,-0.29542097488921715
2022-2023,62,Weld,3090,Weld County School District Re-3j,915,2731,Intermediate,0.335,0.010000000000000009,-5.79510175922732
2022-2023,62,Weld,3100,Weld Re-4,1714,8284,Medium,0.207,-0.06600000000000003,-3.7192003719200373
2022-2023,62,Weld,3110,Johnstown-Milliken Re-5j,929,3827,Medium,0.243,0.0010000000000000009,-2.0225294418842807
2022-2023,62,Weld,3120,Greeley 6,8832,23360,Large,0.378,-0.07300000000000001,0.7939247497411115
2022-2023,62,Weld,3130,Platte Valley Re-7,165,1138,Intermediate,0.145,-0.07900000000000001,2.154398563734291
2022-2023,62,Weld,3140,Weld Re-8 Schools,923,2494,Intermediate,0.37,0.009000000000000008,-6.028636021100226
2022-2023,62,Weld,3145,Ault-Highland Re-9,400,1062,Intermediate,0.377,-0.02100000000000002,-4.065040650406504
2022-2023,62,Weld,3146,Briggsdale Re-10,36,167,Small,0.216,-0.015000000000000013,-10.21505376344086
2022-2023,62,Weld,3147,Prairie Re-11,12,180,Small,0.067,-0.040999999999999995,-2.7027027027027026
2022-2023,62,Weld,3148,Pawnee Re-12,14,63,Micro,0.222,-0.058000000000000024,-16
2022-2023,63,Yuma,3200,Yuma 1,244,853,Intermediate,0.286,-0.03700000000000003,-6.8777292576419216
2022-2023,63,Yuma,3210,Wray Rd-2,189,707,Small,0.267,0.061000000000000026,-8.181818181818182
2022-2023,63,Yuma,3220,Idalia Rj-3,6,156,Small,0.038,0.011,-17.02127659574468
2022-2023,63,Yuma,3230,Liberty J-4,3,57,Micro,0.053,-0.051,-14.925373134328359
